时间,压力(N),传感器#8,传感器#9,传感器#10,传感器#24,传感器#25,传感器#26,传感器#232,传感器#233,传感器#234,传感器#248,传感器#249,传感器#250
08h.46m.19s.615ms,0.00,0,0,0,0,0,0,0,0,0,0,0,0
08h.46m.19s.625ms,0.00,0,0,0,0,0,0,0,0,0,0,0,0
08h.46m.19s.634ms,0.00,0,0,0,0,0,0,0,0,0,0,0,0
08h.46m.19s.645ms,0.00,0,0,0,0,0,0,0,0,0,0,0,0
08h.46m.19s.654ms,0.00,0,0,0,0,0,0,0,0,0,0,0,0
08h.46m.19s.664ms,0.00,0,0,0,0,0,0,0,0,0,0,0,0
08h.46m.19s.674ms,0.00,0,0,0,0,0,0,0,0,0,0,0,0
08h.46m.19s.684ms,0.00,0,0,0,0,0,0,0,0,0,0,0,0
08h.46m.19s.694ms,0.00,0,0,0,0,0,0,0,0,0,0,0,0
08h.46m.19s.704ms,0.00,0,0,0,0,0,0,0,0,0,0,0,0
08h.46m.19s.714ms,0.00,0,0,0,0,0,0,0,0,0,0,0,0
08h.46m.19s.724ms,0.00,0,0,0,0,0,0,0,0,0,0,0,0
08h.46m.19s.734ms,0.00,0,0,0,0,0,0,0,0,0,0,0,0
08h.46m.19s.744ms,0.00,0,0,0,0,0,0,0,0,0,0,0,0
08h.46m.19s.754ms,0.00,0,0,0,0,0,0,0,0,0,0,0,0
08h.46m.19s.764ms,0.00,0,0,0,0,0,0,0,0,0,0,0,0
